Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2.02E+12,1,9,0,18,0,1,1,0,0,0,1,1,2,2,31,6,1988,1,14,6,1,6
2.02E+12,1,9,0,4,0,1,0,0,0,0,1,1,2,1,23,5,1360,1,11,10,1,10
2.02E+12,1,9,0,7,0,3,5,10,0,0,1,1,1,1,55,8,1968,2,4,10,1,10
2.02E+12,1,9,0,5,0,8,0,0,0,0,3,1,6,1,38,7,2143,2,7,2,1,2
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,2,1,38,7,1598,1,16,6,1,6
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,6,1,81,11,1364,1,12,8,1,8
2.02E+12,2,9,0,18,0,8,0,0,0,0,4,1,6,2,66,10,1997,1,17,6,1,6
2.02E+12,1,4,0,5,0,2,1,0,0,0,0,1,6,1,25,5,125,1,1,5,1,5
2.02E+12,1,9,0,6,0,1,0,0,0,0,4,2,6,2,69,10,1240,1,8,7,1,7
2.02E+12,1,9,0,18,0,2,0,0,0,0,1,1,6,1,83,11,1339,1,9,3,1,3
2.02E+12,1,9,0,1,0,1,0,0,0,0,4,1,6,1,52,8,1968,2,4,10,1,10
2.02E+12,1,9,0,9,0,6,0,0,0,0,1,1,6,2,42,7,1560,2,1,10,1,10
2.02E+12,2,9,0,18,0,1,0,0,0,0,4,1,6,1,26,6,1992,2,12,9,1,9
2.02E+12,3,9,0,18,0,1,0,1,0,0,3,1,6,1,52,8,1968,2,3,1,1,1
2.02E+12,1,19,0,17,0,2,0,0,0,0,1,1,1,1,31,6,2143,2,3,2,1,2
2.02E+12,1,9,0,5,0,1,0,0,0,0,1,1,2,1,19,4,1995,1,9,10,1,10
2.02E+12,2,9,0,9,0,1,0,0,0,0,3,1,6,1,47,8,1896,2,14,5,1,5
2.02E+12,1,9,0,9,9,8,0,0,1,1,1,1,1,1,18,4,1910,2,11,3,1,3
2.02E+12,2,9,0,18,0,1,0,0,0,0,1,1,2,1,38,7,1596,1,2,9,1,9
2.02E+12,1,9,0,18,0,2,0,0,0,0,1,1,6,1,46,8,1598,1,9,6,1,6
2.02E+12,2,9,0,7,0,2,0,0,0,0,1,1,6,2,32,6,1332,1,21,3,1,3
2.02E+12,1,19,0,5,0,4,0,0,0,0,1,1,2,1,39,7,1870,2,11,4,1,4
2.02E+12,1,9,0,14,0,1,0,11,0,0,4,1,6,1,78,11,1598,1,17,5,1,5
2.02E+12,1,9,0,9,0,6,1,0,7,2,1,2,6,1,23,5,1910,2,9,4,1,4
2.02E+12,1,8,0,4,0,1,0,0,0,0,3,1,6,1,39,7,1497,8,9,3,1,3
2.02E+12,1,11,0,9,0,5,0,0,0,0,2,1,1,1,42,7,5900,2,11,4,1,4
2.02E+12,1,8,0,18,0,1,0,0,0,0,1,1,6,1,51,8,1686,2,6,6,1,6
2.02E+12,2,8,0,9,0,8,0,0,0,0,4,1,6,1,31,6,1956,2,7,5,1,5
2.02E+12,1,9,0,9,0,2,1,10,7,10,1,1,1,2,20,4,1896,2,12,1,1,1
2.02E+12,2,9,0,18,0,1,1,0,0,0,1,1,2,1,45,7,1461,2,16,3,1,3
2.02E+12,2,19,0,8,0,1,0,0,0,0,1,1,2,1,39,7,2402,2,8,3,1,3
2.02E+12,1,5,0,13,0,1,1,0,0,0,4,1,2,1,33,6,749,1,10,3,1,3
2.02E+12,2,9,0,9,0,1,0,0,0,0,3,1,2,2,43,7,1998,1,17,6,1,6
