Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident
2.02E+12,493665,189807,-0.649054,51.599331,43,3,2,2,6,477,3,40,6,50,3,4,6,1954,0,0,1,1,2,0,0,1,1
2.02E+12,479441,239964,-0.842877,52.052391,43,3,2,2,2,479,5,129,6,40,3,4,5,154,0,0,4,1,1,0,0,1,1
2.02E+12,481431,204321,-0.822262,51.731703,43,3,2,1,6,480,3,4010,6,30,3,4,6,1852,0,0,4,2,2,0,0,2,1
2.02E+12,486651,169486,-0.755284,51.417778,43,3,2,1,2,470,3,329,1,40,1,4,4,3408,0,0,1,1,1,0,0,1,1
2.02E+12,471733,173934,-0.968868,51.459848,43,3,2,1,2,472,3,329,1,30,1,4,4,3345,0,0,1,1,1,0,0,1,2
2.02E+12,474995,173860,-0.921942,51.45876,43,3,2,1,3,475,3,4,1,40,1,4,6,7517,0,8,4,1,2,0,0,1,1
2.02E+12,496376,198408,-0.607556,51.676186,43,3,1,1,3,478,6,23,6,30,8,4,6,408,0,0,1,1,1,0,0,1,2
2.02E+12,495447,180146,-0.625954,51.512191,43,3,2,2,2,473,6,7302,6,30,3,4,6,7302,0,0,4,1,1,0,0,1,1
2.02E+12,453702,203181,-1.223906,51.724791,43,3,2,1,3,482,3,4142,1,30,1,2,3,4158,0,7,4,1,1,0,0,1,1
2.02E+12,490499,165103,-0.701078,51.377777,43,3,2,1,3,470,3,332,1,60,1,4,3,322,0,0,1,1,2,0,0,2,1
2.02E+12,435099,208856,-1.49265,51.777283,43,2,1,1,2,485,6,410,6,30,6,2,3,415,0,5,1,1,1,0,0,1,2
2.02E+12,480597,232515,-0.827772,51.985265,43,3,1,2,6,476,3,421,1,60,1,4,5,17,0,0,4,1,1,0,0,2,1
2.02E+12,468609,174177,-1.01378,51.462419,43,2,2,1,3,472,3,329,1,30,1,4,6,7201,0,4,1,1,1,0,0,1,2
2.02E+12,484095,191852,-0.786699,51.619222,43,3,2,1,4,480,6,1970,6,30,3,4,6,1970,0,0,1,1,1,0,0,1,1
2.02E+12,473315,172854,-0.946326,51.449936,43,3,2,1,4,472,6,7201,6,30,3,4,6,7201,0,0,4,1,1,0,0,1,1
2.02E+12,484663,241876,-0.766265,52.068804,43,3,2,1,3,479,5,158,6,60,3,4,6,1145,0,0,4,2,2,0,0,2,1
2.02E+12,496562,198699,-0.604787,51.67877,43,3,2,1,3,478,3,4154,1,30,2,4,4,4441,0,0,1,1,1,0,0,1,1
2.02E+12,499121,190714,-0.570049,51.606551,43,3,1,1,5,480,6,21,6,30,8,4,6,437,0,0,4,1,1,0,0,1,2
2.02E+12,486743,238676,-0.73674,52.03972,43,2,2,1,1,479,6,1069,6,30,1,4,6,1069,0,0,1,2,2,0,0,1,1
2.02E+12,491384,168855,-0.687401,51.411363,43,3,3,2,5,474,3,329,1,40,1,4,3,332,0,0,1,1,2,0,0,2,1
2.02E+12,497577,180022,-0.595305,51.510712,43,3,2,1,4,473,3,4,3,30,6,2,4,416,0,1,1,1,1,0,0,1,1
2.02E+12,493815,182293,-0.648894,51.531763,43,3,1,1,5,473,6,7301,6,30,3,4,6,7301,0,0,4,1,1,0,0,1,1
2.02E+12,471157,171330,-0.97768,51.43651,43,3,2,3,5,472,3,33,3,40,6,2,6,7201,0,0,4,2,2,0,0,2,1
2.02E+12,494911,180057,-0.6337,51.511481,43,3,1,1,5,473,6,7302,1,30,1,4,6,7302,0,0,1,1,1,0,0,1,1
2.02E+12,472580,172367,-0.957,51.445652,43,2,2,1,2,472,6,7201,6,30,3,4,6,7201,0,0,4,1,2,0,0,1,1
2.02E+12,474161,206720,-0.927001,51.754276,43,3,3,1,4,476,3,4129,6,40,8,4,6,199,0,0,1,8,1,0,0,2,1
2.02E+12,473168,175640,-0.947865,51.475001,43,2,2,1,3,472,6,7201,6,30,3,4,6,7201,0,0,7,9,1,0,0,1,2
2.02E+12,477590,169863,-0.885474,51.422478,43,3,3,2,2,475,4,3030,6,30,3,4,6,7514,0,0,1,1,1,4,0,1,1
2.02E+12,475339,196385,-0.912169,51.661211,43,3,1,1,7,480,3,40,6,60,3,4,3,40,0,0,1,1,2,0,0,2,1
2.02E+12,473361,236140,-0.932345,52.018853,43,3,2,1,6,476,3,422,6,60,3,4,6,660,0,0,1,1,1,0,0,2,1
2.02E+12,496405,179811,-0.612245,51.509017,43,3,2,2,1,473,3,355,1,30,1,2,6,7302,0,5,4,1,1,0,0,1,1
2.02E+12,485135,238843,-0.760136,52.04147,43,3,1,1,6,479,5,157,3,30,3,4,6,1098,0,0,1,6,2,4,0,1,1
2.02E+12,486849,169022,-0.752551,51.413577,43,3,2,1,6,470,6,7002,1,30,2,4,6,7002,0,0,1,1,2,0,0,1,2
2.02E+12,500533,179041,-0.553002,51.501377,43,3,2,1,7,473,6,7302,6,20,3,4,6,7302,0,1,4,1,1,0,0,1,1
2.02E+12,471711,168774,-0.970227,51.413461,43,3,2,2,7,472,3,33,1,30,1,2,4,3270,0,0,4,1,2,0,0,2,1
2.02E+12,449130,198563,-1.290743,51.68369,43,3,2,1,2,483,6,100,1,40,1,4,4,4017,0,0,1,1,1,0,0,2,2
2.02E+12,486217,168911,-0.761663,51.412675,43,3,4,2,3,470,3,3095,3,70,1,2,3,329,0,0,1,1,1,0,0,2,1
2.02E+12,487677,182504,-0.737305,51.534646,43,2,2,1,1,474,3,308,6,30,3,4,6,7408,0,0,1,1,2,0,0,1,2
2.02E+12,484674,191535,-0.778414,51.616286,43,3,2,1,2,480,6,814,6,30,6,2,6,1970,0,0,1,1,1,1,0,1,1
2.02E+12,500621,182399,-0.550776,51.531545,43,3,2,1,4,477,3,412,3,60,3,4,6,27,0,0,1,2,2,0,0,2,1
2.02E+12,503286,176698,-0.514038,51.47982,43,3,2,1,3,473,6,7305,6,30,3,4,6,7305,0,0,1,1,1,0,0,1,1
2.02E+12,492356,189822,-0.667943,51.599682,43,3,2,1,5,477,3,40,6,50,8,4,6,1954,0,0,4,2,2,0,0,1,1
2.02E+12,425323,190822,-1.635648,51.615662,43,3,2,2,5,483,3,420,1,60,1,4,4,4508,1,0,1,1,2,0,0,2,1
2.02E+12,498612,179800,-0.580457,51.508537,43,3,1,1,7,473,3,442,3,40,1,2,3,4,0,4,4,2,2,0,0,1,1
2.02E+12,480435,239561,-0.828479,52.048625,43,3,2,1,3,479,5,142,6,60,3,4,6,1116,0,0,4,1,1,0,0,2,1
2.02E+12,496169,181288,-0.615242,51.522334,43,3,2,2,4,473,3,355,6,30,6,2,6,7302,0,4,1,8,4,0,0,1,1
2.02E+12,488942,239529,-0.704467,52.047039,43,3,2,1,6,479,3,4146,3,70,3,4,6,1103,0,0,1,1,2,0,0,2,1
2.02E+12,496646,179628,-0.608824,51.50733,43,3,2,1,3,473,6,7302,6,30,5,4,6,7302,0,0,1,1,1,0,0,1,1
2.02E+12,487626,239474,-0.723666,52.046754,43,3,2,1,3,479,5,146,6,60,1,4,5,9010,0,0,4,1,2,0,0,2,1
2.02E+12,486887,236629,-0.73516,52.021297,43,3,2,1,4,479,6,1069,6,30,1,4,6,1069,0,0,4,1,2,0,0,1,1
2.02E+12,488575,181145,-0.724703,51.522289,43,3,2,1,3,474,3,308,1,30,1,4,3,4,0,0,4,2,2,0,0,1,1
2.02E+12,452283,205958,-1.244031,51.749891,43,3,2,1,6,482,3,420,1,20,1,4,4,480,0,8,1,1,1,0,0,1,2
2.02E+12,485228,233146,-0.760196,51.990246,43,3,2,2,3,479,4,4034,6,30,3,4,6,1030,0,0,1,1,1,0,0,1,1
